Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Christian Moore","LAA",110.391,427.689,382.963,84.4875,55.0656,14.7201,2.7857,11.9161,46.3596,42.3906,37.5057,0.809732,132.756,2.94796,2.82665,1.44535,5.6046,7.51319,2.04054,0.220615,0.0876938,0.310403,0.282516,0.293122,0.366948,0.289621,0.660069,0.146332,5.29619,0.300979,-0.0252042,0.0417573,42.3974,-8.13735,82.8747,0.0165531,-0.468691,-8.616008624434471,1.2348794639110565,0.750895,999,1.9292,-0.181449,0.548042,1.9292,0.181449,4.26928,393.4,3.576363636,393.4,3.576363636,,,,,,,,,,,,,,,,,,,"Christian Moore","34979",695681
"Cam Smith","HOU",107.857,426.506,382.078,91.4532,61.7733,17.8938,2.16661,9.61953,48.6386,43.5624,35.7784,0.716325,113.197,5.51552,2.56312,0.570982,7.23371,6.45761,1.48339,0.239358,0.0838872,0.265405,0.316072,0.311661,0.373062,0.301424,0.684723,0.133705,5.04263,0.312551,0.114709,0.00835902,46.3675,-4.02749,92.7592,0.123068,0.569378,-3.5168116986751556,-4.215959548950195,0.710751,385.8999938964844,1.53299,0.404183,0.495664,1.53299,-0.404183,4.33911,419.8,3.887037037,419.8,3.887037037,,,,,,,,,,,,,,,,,,,"Cam Smith","35108",701358
"Jake Rogers","DET",53.3116,190.591,171.382,35.6864,21.551,7.3806,0.735992,6.01886,21.4165,21.3172,15.3536,0.122628,54.5931,1.60505,1.34625,0.903959,2.75354,0.842289,0.214352,0.208227,0.0805575,0.286441,0.281236,0.277536,0.365239,0.281576,0.642775,0.157012,3.85335,0.264613,-0.0446089,-0.172741,17.6487,-4.87109,78.2604,-0.21735,1.29455,-5.10080024600029,5.408101916313171,0.702595,999,1.73565,0.187099,1.12792,1.73565,-0.187099,3.49611,165.9,3.130188679,165.9,3.130188679,,,,,,,,,,,,,,,,,,,"Jake Rogers","19452",668670
"Kyle Isbel","KCR",117.919,441.338,398.685,93.1851,63.6776,18.0969,4.27299,7.13766,50.7255,39.4066,27.2981,0.287784,86.339,4.07011,3.27359,8.01175,7.03632,8.55943,2.94743,0.233731,0.061853,0.19563,0.316173,0.287435,0.354267,0.281211,0.641703,0.120536,6.03058,0.278939,0.616205,-0.120698,40.7368,-11.4107,77.8853,0.495506,1.09106,-11.040003597736359,2.9108012914657593,0.696501,999,1.85159,-1.0133,0.625251,1.85159,1.0133,4.16633,364.3,3.087288135,364.3,3.087288135,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Kyle Higashioka","TEX",74.0601,269.927,248.964,54.8149,33.1532,10.9213,0.728767,10.0115,26.8469,34.2205,16.638,0.0597149,66.6275,1.20132,2.36497,0.75836,3.41024,2.06352,0.580957,0.220172,0.061639,0.246835,0.249717,0.269921,0.390532,0.285427,0.660453,0.17036,3.60623,0.256473,-0.534305,-0.161449,25.839,-6.0549,82.569,-0.695754,-1.43724,-6.241261065006256,3.653873562812805,0.685807,999,3.88463,0.429027,0.901115,3.88463,-0.429027,3.79851,245.6,3.318918918,245.6,3.318918918,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Jac Caglianone","KCR",121.085,493.199,445.938,106.086,65.8615,20.1553,1.59226,18.4766,57.6965,62.7864,37.6501,1.7964,110.208,6.44314,2.83769,0.329741,8.65476,3.36187,0.970872,0.237893,0.0763386,0.223456,0.341626,0.304704,0.414532,0.311487,0.719235,0.176638,3.70149,0.273701,-0.0682275,-0.439242,57.6474,-0.627895,98.6835,-0.507469,-1.62296,-1.2748699188232422,-8.853619813919067,0.671527,207.7100067138672,2.72305,0.84254,0.346982,2.72305,-0.84254,4.53736,521.1,4.30661157,521.1,4.30661157,,,,,,,,,,,,,,,,,,,"Jac Caglianone","35041",695506
"Joc Pederson","TEX",101.848,401.318,345.301,78.8987,47.4538,14.0113,1.03038,16.4032,47.9733,49.661,44.975,1.70195,90.7445,8.14118,2.60527,0.295425,6.18409,2.96402,0.977524,0.228492,0.112068,0.226116,0.495622,0.329196,0.41755,0.32623,0.746745,0.189057,3.58047,0.259577,-0.374205,-0.460204,51.7115,4.29268,110.677,-0.834408,-0.657974,4.215618133544922,-11.558691084384918,0.661926,999,3.21789,-1.31684,0.411983,3.21789,1.31684,4.45069,456,4.470588235,456,4.470588235,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Colby Thomas","ATH",68.7301,264.738,241.364,56.1544,31.2844,13.4629,0.905083,10.502,31.6534,32.3469,15.7462,0.00209592,81.2642,4.24187,2.39161,0.993919,3.80823,4.42719,1.45824,0.232654,0.0594784,0.306961,0.193765,0.288698,0.426465,0.308034,0.715163,0.193811,4.99566,0.300365,-0.0948725,-0.050209,30.2016,-1.07925,96.3114,-0.145082,0.645557,-1.2992165684700012,-1.3897426128387451,0.641592,999,2.00939,-2.31972,0.953164,2.00939,2.31972,3.72911,284.2,4.118840579,284.2,4.118840579,,,,,,,,,,,,,,,,,,,"Colby Thomas","31855",687515
"Wenceel Pérez","DET",110.664,449.607,406.019,95.8113,60.5121,18.8671,4.34464,12.0874,54.081,46.8276,35.8112,0.350428,97.974,3.16618,3.71368,0.896889,5.0611,10.1581,3.27662,0.235978,0.0796501,0.21791,0.365518,0.300392,0.393159,0.301844,0.693551,0.157182,5.97516,0.279386,0.456645,0.0353123,49.0322,-4.0923,92.2224,0.491958,-0.983428,-3.6295071840286255,-5.800886690616608,0.618411,999,1.94576,0.814332,0.479038,1.94576,-0.814332,4.36128,449.9,4.053153153,449.9,4.053153153,,,,,,,,,,,,,,,,,,,"Wenceel Perez","22857",672761
"Austin Hays","CHW",112.267,451.683,412.689,101.221,64.3606,20.9511,2.13176,13.7772,52.9356,52.8655,29.5222,1.07561,110.331,4.82022,3.99271,0.659038,7.14928,5.74193,1.18116,0.245271,0.0653605,0.244266,0.267579,0.300567,0.406521,0.305858,0.707088,0.16125,4.71803,0.298877,-0.299619,0.0201753,50.7306,-2.63926,94.8168,-0.279444,-0.420547,-3.046468824148178,-6.32112592458725,0.605619,619.8800048828125,3.68045,1.58322,0.308655,3.68045,-1.58322,4.58846,470.1,4.197321428,470.1,4.197321428,,,,,,,,,,,,,,,,,,,"Austin Hays","19363",669720
