Name,Team,Age,xwOBA,Spd,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Ceddanne Rafaela","BOS",24,0.30501882997277663,6.799892759508759,0.0921659,0.38709677,0.24215318169785943,0.41578872736557065,"Ceddanne Rafaela",24262,678882
"Josh Jung","TEX",27,0.30394315344142164,3.4454260060437223,0.08215297,0.4674221,0.24528239017239692,0.4142987086031283,"Josh Jung",26299,673962
"Jarren Duran","BOS",28,0.32572161962115576,7.237121696850838,0.0967033,0.46813187,0.24795973474259136,0.4102769398727787,"Jarren Duran",24617,680776
"Adley Rutschman","BAL",27,0.3252493662376926,2.23354340875,0.07490637,0.38576779,0.24072568905279504,0.4096930367606027,"Adley Rutschman",26288,668939
"Davis Schneider","TOR",26,0.3230266487020753,3.370412717323794,0.13953488,0.41085271,0.1882082350710605,0.40917737433250917,"Davis Schneider",23565,676914
"Triston Casas","BOS",25,0.3042345567183061,0.14285714,0.09722222,0.44444444,0.21203064196037524,0.40859723331952336,"Triston Casas",22514,671213
"Luke Maile","KCR",34,0.3420037288291782,4.031079702565845,0.06451613,0.4516129,0.26098359714854846,0.40849382227117365,"Luke Maile",13355,571912
"Dylan Beavers","BAL",23,0.3436866087072036,4.2343066717560625,0.09333333,0.28,0.2131160389293324,0.40785796425559306,"Dylan Beavers",31695,687637
"Miguel Vargas","CHW",25,0.3187694012279242,4.941529800865916,0.09336609,0.40540541,0.23676985632591172,0.40749257506717507,"Miguel Vargas",20178,678246
"Joey Loperfido","TOR",26,0.31624303280728533,2.1065244111991808,0.05714286,0.37142857,0.265832523504893,0.4067724943161011,"Joey Loperfido",29630,694388
"Anthony Volpe","NYY",24,0.3006652265937895,5.944759129915221,0.10526316,0.41854637,0.22266208174498492,0.40502230444290643,"Anthony Volpe",27647,683011
"Jackson Holliday","BAL",21,0.31325851558714873,4.5590166208139244,0.07829978,0.40715884,0.2410117371441567,0.40376966293543987,"Jackson Holliday",31781,702616
"Colton Cowser","BAL",25,0.29331806118927856,5.093290777543569,0.14070352,0.45728643,0.2003544298417729,0.4036069998711896,"Colton Cowser",29591,681297
"Austin Martin","MIN",26,0.34527822313361994,5.971241481251676,0.05511811,0.38582677,0.2789178750453851,0.4027285942664513,"Austin Martin",27462,668885
"Jake Meyers","HOU",29,0.3247750684500373,5.8882036255153425,0.05,0.38928571,0.2689661154649125,0.4027251749793805,"Jake Meyers",20308,676694
"Ryan Jeffers","MIN",28,0.32330441682235056,1.663580293851115,0.06329114,0.42088608,0.24315654613353588,0.4003291377314815,"Ryan Jeffers",24618,680777
"Royce Lewis","MIN",26,0.2968748106849992,4.012046190745333,0.08724832,0.40268456,0.23998530367587476,0.39980904599453543,"Royce Lewis",20437,668904
"Austin Wells","NYY",25,0.29333195023472536,4.049410241085003,0.10169492,0.45084746,0.21381688296348972,0.39914286701459245,"Austin Wells",27562,669224
"Trevor Larnach","MIN",28,0.31510089306121175,2.81249367307218,0.07216495,0.45618557,0.24661435379422683,0.3989901229828063,"Trevor Larnach",21501,663616
"Gustavo Campero","LAA",27,0.3252709995616566,6.660023028026013,0.06818182,0.22727273,0.23909553988226528,0.3985228045233365,"Gustavo Campero",22707,672569
"Jeremiah Jackson","BAL",25,0.2950612372094458,3.9326645270627605,0.075,0.46666667,0.22604997623601608,0.39794122820069805,"Jeremiah Jackson",22239,669236
"Marcus Semien","TEX",34,0.31786075899793326,4.780676901125597,0.06735751,0.34974093,0.24286404347368903,0.3953882473618237,"Marcus Semien",12533,543760
"Lawrence Butler","ATH",24,0.305299192190932,5.481803140736522,0.09183673,0.44387755,0.22985535744426533,0.3940860001498429,"Lawrence Butler",22542,671732
"Kyle Higashioka","TEX",35,0.29341778094951926,3.639919202494636,0.08583691,0.39055794,0.23293721281140056,0.3936138026761693,"Kyle Higashioka",5517,543309
"Wenceel Pérez","DET",25,0.30950969566564335,5.979389092364817,0.08778626,0.40076336,0.24200672327085984,0.39348513581031974,"Wenceel Perez",22857,672761
"Joc Pederson","TEX",33,0.3148939932140187,3.5619210479327545,0.09405941,0.44554455,0.21938164424533627,0.3933344503772576,"Joc Pederson",11899,592626
"Nathan Lukes","TOR",30,0.3143581973805147,3.382829390237419,0.04733728,0.36686391,0.2587483922640483,0.3920244773228963,"Nathan Lukes",18123,664770
"Brendan Rodgers","HOU",28,0.29553180932998663,2.078450779941608,0.14285714,0.48571429,0.2130312546439793,0.39099024897036344,"Brendan Rodgers",17907,663898
"Heston Kjerstad","BAL",26,0.2895819841030829,5.544963357788653,0.08035714,0.41071429,0.23090898073636568,0.39086075318165314,"Heston Kjerstad",31166,677008
"Alejandro Osuna","TEX",22,0.33609918106433956,2.82316050744776,0.05882353,0.3697479,0.2711705457444159,0.39041534526236105,"Alejandro Osuna",27915,696030
"Willi Castro","MIN",28,0.32329815870140033,5.838104279387915,0.06849315,0.42009132,0.24866480543123964,0.39031014852965906,"Willi Castro",17338,650489
"Nolan Schanuel","LAA",23,0.32759953231262645,3.539269918036478,0.04481132,0.29009434,0.2628933007712237,0.3886166363036608,"Nolan Schanuel",33189,694384
"Daniel Schneemann","CLE",28,0.29661859393690193,4.912820995949004,0.11363636,0.41666667,0.21454768092309764,0.3871852561080487,"Daniel Schneemann",25180,682177
"Jorge Soler","LAA",33,0.2944012052693944,1.08035714,0.12698413,0.41798942,0.20373191970223595,0.38669148653638835,"Jorge Soler",14221,624585
